  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 23015                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.300     Re =     2.310 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.3221   0.00850   0.00266  -0.0143   0.6324   0.0371
  -3.500  -0.2635   0.00838   0.00242  -0.0137   0.5895   0.0419
  -3.000  -0.2046   0.00826   0.00221  -0.0132   0.5508   0.0480
  -2.500  -0.1458   0.00817   0.00204  -0.0127   0.5091   0.0575
  -2.000  -0.0869   0.00810   0.00190  -0.0123   0.4705   0.0718
  -1.500  -0.0289   0.00797   0.00177  -0.0118   0.4313   0.1059
  -0.500   0.0753   0.00664   0.00138  -0.0092   0.3589   0.4663
   0.000   0.1327   0.00657   0.00140  -0.0087   0.3233   0.5385
   0.500   0.1907   0.00657   0.00145  -0.0083   0.2926   0.5984
   1.000   0.2490   0.00660   0.00153  -0.0079   0.2677   0.6540
   1.500   0.3070   0.00663   0.00164  -0.0074   0.2463   0.7160
   2.500   0.4260   0.00679   0.00189  -0.0069   0.2228   0.7880
   3.000   0.4853   0.00691   0.00205  -0.0066   0.2125   0.8198
   3.500   0.5450   0.00704   0.00222  -0.0064   0.2054   0.8492
   4.000   0.6040   0.00720   0.00243  -0.0059   0.1971   0.8772
   4.500   0.6634   0.00736   0.00264  -0.0056   0.1918   0.9016
   5.000   0.7214   0.00762   0.00290  -0.0049   0.1831   0.9229
   5.500   0.7801   0.00780   0.00313  -0.0042   0.1794   0.9416
   6.000   0.8371   0.00809   0.00341  -0.0033   0.1725   0.9578
   6.500   0.8948   0.00837   0.00371  -0.0024   0.1674   0.9714
   7.000   0.9542   0.00868   0.00401  -0.0019   0.1620   0.9824
   7.500   1.0218   0.00910   0.00441  -0.0032   0.1549   0.9881
   8.000   1.0900   0.00945   0.00478  -0.0045   0.1505   0.9928
   8.500   1.1614   0.00998   0.00526  -0.0066   0.1424   0.9946
   9.000   1.2337   0.01037   0.00569  -0.0087   0.1380   0.9967
   9.500   1.3030   0.01097   0.00625  -0.0103   0.1300   0.9990
  10.000   1.3606   0.01141   0.00672  -0.0093   0.1251   1.0000
  10.500   1.3966   0.01194   0.00726  -0.0041   0.1183   1.0000
  11.000   1.4378   0.01244   0.00779   0.0001   0.1130   1.0000
  11.500   1.4803   0.01311   0.00848   0.0038   0.1061   1.0000
  12.000   1.5181   0.01394   0.00931   0.0082   0.0984   1.0000
  12.500   1.5567   0.01482   0.01024   0.0123   0.0919   1.0000
  13.000   1.5925   0.01598   0.01144   0.0163   0.0843   1.0000
  13.500   1.6244   0.01746   0.01296   0.0203   0.0764   1.0000
  14.000   1.6511   0.01939   0.01494   0.0242   0.0681   1.0000
  14.500   1.6725   0.02186   0.01748   0.0277   0.0605   1.0000
  15.000   1.6863   0.02517   0.02087   0.0307   0.0532   1.0000
  15.500   1.6933   0.02945   0.02527   0.0326   0.0471   1.0000
  16.000   1.6918   0.03498   0.03093   0.0333   0.0423   1.0000
  16.500   1.6779   0.04219   0.03831   0.0326   0.0385   1.0000
  17.000   1.6486   0.05152   0.04783   0.0304   0.0357   1.0000
  17.500   1.6064   0.06277   0.05929   0.0267   0.0340   1.0000
  18.000   1.5469   0.07646   0.07322   0.0215   0.0332   1.0000
  18.500   1.4752   0.09212   0.08911   0.0149   0.0328   1.0000
  19.000   1.4032   0.10845   0.10565   0.0073   0.0325   1.0000
  19.500   1.3426   0.12401   0.12138  -0.0005   0.0316   1.0000
  20.000   1.2970   0.13807   0.13558  -0.0082   0.0303   1.0000
