  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.060     Re =     0.460 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000   0.0348   0.01051   0.00388  -0.1052   0.8069   0.1244
  -3.500   0.0895   0.01017   0.00353  -0.1047   0.7868   0.1455
  -3.000   0.1444   0.00994   0.00326  -0.1043   0.7656   0.1709
  -2.500   0.1988   0.00969   0.00306  -0.1038   0.7428   0.2027
  -2.000   0.2531   0.00952   0.00290  -0.1034   0.7193   0.2403
  -1.500   0.3071   0.00938   0.00279  -0.1028   0.6957   0.2856
  -1.000   0.3608   0.00922   0.00272  -0.1023   0.6717   0.3432
  -0.500   0.4131   0.00894   0.00270  -0.1016   0.6478   0.4433
   0.000   0.4627   0.00853   0.00279  -0.1003   0.6255   0.6329
   0.500   0.5099   0.00827   0.00295  -0.0981   0.6048   0.7966
   1.000   0.5608   0.00827   0.00316  -0.0960   0.5854   0.9340
   1.500   0.6441   0.00855   0.00332  -0.1016   0.5662   0.9885
   2.000   0.7165   0.00883   0.00344  -0.1053   0.5490   1.0000
   3.000   0.8104   0.00933   0.00373  -0.1016   0.5203   1.0000
   3.500   0.8595   0.00961   0.00395  -0.1003   0.5073   1.0000
   4.000   0.9092   0.00994   0.00419  -0.0990   0.4947   1.0000
   4.500   0.9593   0.01028   0.00445  -0.0979   0.4819   1.0000
   5.000   1.0098   0.01057   0.00475  -0.0969   0.4691   1.0000
   5.500   1.0598   0.01092   0.00508  -0.0958   0.4561   1.0000
   6.000   1.1087   0.01131   0.00543  -0.0945   0.4424   1.0000
   6.500   1.1565   0.01173   0.00581  -0.0930   0.4275   1.0000
   7.000   1.2029   0.01212   0.00620  -0.0913   0.4112   1.0000
   7.500   1.2477   0.01255   0.00664  -0.0894   0.3935   1.0000
   8.000   1.2909   0.01301   0.00712  -0.0872   0.3741   1.0000
   8.500   1.3290   0.01357   0.00767  -0.0841   0.3529   1.0000
   9.000   1.3637   0.01434   0.00839  -0.0806   0.3296   1.0000
   9.500   1.3977   0.01523   0.00926  -0.0772   0.3040   1.0000
  10.000   1.4272   0.01641   0.01035  -0.0734   0.2762   1.0000
  10.500   1.4528   0.01787   0.01172  -0.0693   0.2461   1.0000
  11.000   1.4746   0.01967   0.01341  -0.0651   0.2149   1.0000
  11.500   1.4918   0.02187   0.01552  -0.0608   0.1841   1.0000
  12.000   1.5047   0.02453   0.01808  -0.0565   0.1558   1.0000
  12.500   1.5133   0.02772   0.02119  -0.0525   0.1314   1.0000
  13.000   1.5205   0.03129   0.02474  -0.0491   0.1115   1.0000
  13.500   1.5231   0.03552   0.02897  -0.0460   0.0962   1.0000
  14.000   1.5257   0.04009   0.03360  -0.0436   0.0844   1.0000
  14.500   1.5251   0.04533   0.03891  -0.0418   0.0753   1.0000
  15.000   1.5199   0.05134   0.04500  -0.0405   0.0682   1.0000
  15.500   1.5168   0.05744   0.05123  -0.0398   0.0625   1.0000
  16.000   1.5112   0.06403   0.05796  -0.0394   0.0578   1.0000
  16.500   1.4974   0.07186   0.06589  -0.0396   0.0540   1.0000
  17.000   1.4938   0.07859   0.07280  -0.0401   0.0506   1.0000
  17.500   1.4784   0.08698   0.08127  -0.0410   0.0478   1.0000
  18.000   1.4736   0.09410   0.08858  -0.0421   0.0452   1.0000
  18.500   1.4640   0.10199   0.09658  -0.0436   0.0428   1.0000
  19.000   1.4563   0.10965   0.10438  -0.0454   0.0407   1.0000
  19.500   1.4516   0.11705   0.11193  -0.0474   0.0387   1.0000
  20.000   1.4444   0.12465   0.11956  -0.0497   0.0368   1.0000
