  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.250     Re =     1.410 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000   0.0259   0.00800   0.00226  -0.1065   0.7012   0.0847
  -3.000   0.1422   0.00774   0.00193  -0.1059   0.6535   0.1146
  -2.500   0.2002   0.00764   0.00181  -0.1056   0.6293   0.1359
  -2.000   0.2578   0.00759   0.00174  -0.1053   0.6051   0.1599
  -1.500   0.3160   0.00754   0.00170  -0.1052   0.5828   0.1878
  -1.000   0.3738   0.00750   0.00169  -0.1050   0.5612   0.2217
  -0.500   0.4316   0.00749   0.00170  -0.1048   0.5414   0.2601
   0.000   0.4893   0.00745   0.00174  -0.1046   0.5237   0.3072
   0.500   0.5469   0.00740   0.00181  -0.1044   0.5078   0.3693
   1.000   0.6033   0.00717   0.00191  -0.1042   0.4937   0.5080
   1.500   0.6589   0.00699   0.00206  -0.1037   0.4802   0.6529
   2.000   0.7143   0.00680   0.00223  -0.1030   0.4691   0.7867
   2.500   0.7643   0.00668   0.00245  -0.1008   0.4584   0.9217
   3.000   0.8313   0.00690   0.00266  -0.1023   0.4461   0.9870
   3.500   0.9069   0.00711   0.00283  -0.1060   0.4353   1.0000
   4.000   0.9580   0.00733   0.00300  -0.1044   0.4244   1.0000
   4.500   1.0104   0.00759   0.00320  -0.1030   0.4119   1.0000
   5.000   1.0648   0.00782   0.00340  -0.1021   0.3991   1.0000
   5.500   1.1183   0.00812   0.00365  -0.1010   0.3834   1.0000
   6.000   1.1705   0.00849   0.00395  -0.0997   0.3645   1.0000
   6.500   1.2210   0.00895   0.00432  -0.0980   0.3431   1.0000
   7.000   1.2705   0.00943   0.00473  -0.0962   0.3203   1.0000
   7.500   1.3152   0.01006   0.00524  -0.0935   0.2943   1.0000
   8.000   1.3561   0.01076   0.00584  -0.0902   0.2670   1.0000
   8.500   1.3943   0.01163   0.00660  -0.0865   0.2370   1.0000
   9.000   1.4286   0.01272   0.00755  -0.0824   0.2049   1.0000
   9.500   1.4590   0.01405   0.00873  -0.0779   0.1727   1.0000
  10.000   1.4868   0.01556   0.01012  -0.0733   0.1435   1.0000
  10.500   1.5114   0.01734   0.01179  -0.0687   0.1180   1.0000
  11.500   1.5553   0.02160   0.01595  -0.0600   0.0813   1.0000
  12.000   1.5731   0.02426   0.01861  -0.0560   0.0686   1.0000
  12.500   1.5911   0.02711   0.02149  -0.0525   0.0595   1.0000
  13.000   1.6061   0.03040   0.02483  -0.0494   0.0523   1.0000
  13.500   1.6179   0.03418   0.02869  -0.0466   0.0465   1.0000
  14.000   1.6260   0.03857   0.03315  -0.0442   0.0418   1.0000
  14.500   1.6338   0.04322   0.03791  -0.0423   0.0384   1.0000
  15.000   1.6373   0.04853   0.04334  -0.0408   0.0354   1.0000
  15.500   1.6347   0.05464   0.04957  -0.0396   0.0327   1.0000
  16.000   1.6335   0.06084   0.05591  -0.0389   0.0308   1.0000
  16.500   1.6257   0.06789   0.06310  -0.0386   0.0290   1.0000
  17.000   1.6155   0.07545   0.07081  -0.0388   0.0275   1.0000
  17.500   1.6062   0.08299   0.07850  -0.0393   0.0262   1.0000
  18.000   1.5912   0.09141   0.08706  -0.0403   0.0248   1.0000
  18.500   1.5764   0.09996   0.09577  -0.0417   0.0238   1.0000
  19.000   1.5649   0.10826   0.10423  -0.0435   0.0229   1.0000
  19.500   1.5501   0.11713   0.11323  -0.0459   0.0219   1.0000
  20.000   1.5292   0.12711   0.12336  -0.0493   0.0211   1.0000
