  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.420     Re =     3.240 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000   0.0179   0.00731   0.00205  -0.1143   0.6015   0.0597
  -3.500   0.0826   0.00719   0.00188  -0.1139   0.5775   0.0691
  -3.000   0.1470   0.00712   0.00176  -0.1134   0.5536   0.0802
  -2.500   0.2114   0.00704   0.00165  -0.1131   0.5328   0.0950
  -2.000   0.2758   0.00698   0.00158  -0.1129   0.5139   0.1118
  -1.500   0.3400   0.00693   0.00154  -0.1127   0.4970   0.1326
  -1.000   0.4041   0.00690   0.00153  -0.1125   0.4819   0.1549
  -0.500   0.4686   0.00685   0.00153  -0.1124   0.4702   0.1840
   0.000   0.5328   0.00683   0.00157  -0.1124   0.4588   0.2160
   0.500   0.5965   0.00684   0.00163  -0.1122   0.4471   0.2516
   1.000   0.6610   0.00681   0.00170  -0.1122   0.4388   0.2936
   1.500   0.7242   0.00683   0.00181  -0.1120   0.4276   0.3464
   2.000   0.7879   0.00670   0.00192  -0.1119   0.4197   0.4476
   2.500   0.8502   0.00657   0.00210  -0.1115   0.4091   0.5899
   3.000   0.9127   0.00651   0.00229  -0.1110   0.3982   0.7030
   3.500   0.9739   0.00643   0.00252  -0.1101   0.3864   0.8304
   4.000   1.0276   0.00644   0.00279  -0.1073   0.3725   0.9568
   4.500   1.1037   0.00676   0.00307  -0.1094   0.3549   1.0000
   5.000   1.1607   0.00712   0.00336  -0.1075   0.3359   1.0000
   5.500   1.2161   0.00758   0.00372  -0.1052   0.3132   1.0000
   6.000   1.2707   0.00807   0.00414  -0.1027   0.2899   1.0000
   6.500   1.3184   0.00870   0.00467  -0.0988   0.2629   1.0000
   7.000   1.3636   0.00945   0.00532  -0.0946   0.2345   1.0000
   7.500   1.4062   0.01039   0.00614  -0.0900   0.2041   1.0000
   8.000   1.4446   0.01154   0.00719  -0.0850   0.1725   1.0000
   8.500   1.4797   0.01292   0.00847  -0.0797   0.1423   1.0000
   9.000   1.5106   0.01460   0.01008  -0.0742   0.1146   1.0000
   9.500   1.5396   0.01654   0.01197  -0.0688   0.0924   1.0000
  10.000   1.5662   0.01879   0.01421  -0.0637   0.0751   1.0000
  10.500   1.5902   0.02142   0.01685  -0.0588   0.0617   1.0000
  11.000   1.6145   0.02428   0.01976  -0.0545   0.0525   1.0000
  11.500   1.6348   0.02763   0.02318  -0.0505   0.0451   1.0000
  12.000   1.6521   0.03149   0.02713  -0.0469   0.0395   1.0000
  12.500   1.6655   0.03590   0.03164  -0.0436   0.0352   1.0000
  13.000   1.6738   0.04096   0.03682  -0.0408   0.0316   1.0000
  13.500   1.6781   0.04657   0.04254  -0.0384   0.0288   1.0000
  14.000   1.6793   0.05265   0.04876  -0.0365   0.0267   1.0000
  14.500   1.6732   0.05957   0.05582  -0.0350   0.0247   1.0000
  15.000   1.6671   0.06665   0.06304  -0.0340   0.0232   1.0000
  15.500   1.6556   0.07443   0.07096  -0.0335   0.0218   1.0000
  16.000   1.6405   0.08273   0.07941  -0.0335   0.0207   1.0000
  16.500   1.6290   0.09088   0.08769  -0.0340   0.0197   1.0000
  17.000   1.6120   0.09977   0.09673  -0.0351   0.0188   1.0000
  17.500   1.5936   0.10908   0.10617  -0.0370   0.0179   1.0000
  18.000   1.5786   0.11821   0.11544  -0.0393   0.0172   1.0000
  18.500   1.5642   0.12753   0.12490  -0.0422   0.0165   1.0000
  19.000   1.5472   0.13746   0.13497  -0.0461   0.0159   1.0000
  19.500   1.5286   0.14781   0.14544  -0.0509   0.0153   1.0000
  20.000   1.5135   0.15813   0.15590  -0.0563   0.0148   1.0000
