  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.400     Re =     2.290 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000   0.0196   0.00768   0.00221  -0.1131   0.6361   0.0656
  -3.500   0.0828   0.00754   0.00203  -0.1125   0.6108   0.0767
  -3.000   0.1458   0.00745   0.00188  -0.1120   0.5866   0.0893
  -2.500   0.2089   0.00736   0.00177  -0.1117   0.5639   0.1056
  -2.000   0.2717   0.00730   0.00170  -0.1114   0.5426   0.1246
  -1.500   0.3344   0.00725   0.00165  -0.1111   0.5232   0.1482
  -1.000   0.3972   0.00722   0.00164  -0.1109   0.5061   0.1744
  -0.500   0.4600   0.00720   0.00165  -0.1107   0.4912   0.2048
   0.000   0.5226   0.00719   0.00170  -0.1105   0.4776   0.2406
   0.500   0.5849   0.00720   0.00177  -0.1103   0.4648   0.2824
   1.000   0.6478   0.00715   0.00185  -0.1102   0.4551   0.3342
   1.500   0.7094   0.00709   0.00196  -0.1099   0.4440   0.4170
   2.500   0.8316   0.00675   0.00231  -0.1090   0.4248   0.7049
   3.000   0.8905   0.00665   0.00254  -0.1080   0.4140   0.8369
   3.500   0.9444   0.00661   0.00278  -0.1053   0.4040   0.9636
   4.000   1.0249   0.00689   0.00302  -0.1087   0.3900   0.9993
   4.500   1.0822   0.00718   0.00325  -0.1071   0.3750   1.0000
   5.000   1.1389   0.00751   0.00352  -0.1054   0.3581   1.0000
   5.500   1.1949   0.00790   0.00385  -0.1034   0.3388   1.0000
   6.000   1.2482   0.00840   0.00426  -0.1010   0.3160   1.0000
   6.500   1.2969   0.00896   0.00474  -0.0976   0.2921   1.0000
   7.000   1.3424   0.00968   0.00536  -0.0937   0.2650   1.0000
   7.500   1.3860   0.01054   0.00612  -0.0895   0.2358   1.0000
   8.000   1.4253   0.01162   0.00710  -0.0849   0.2046   1.0000
   8.500   1.4598   0.01298   0.00834  -0.0797   0.1723   1.0000
   9.000   1.4908   0.01460   0.00987  -0.0744   0.1415   1.0000
   9.500   1.5176   0.01657   0.01176  -0.0690   0.1147   1.0000
  10.000   1.5414   0.01888   0.01404  -0.0637   0.0925   1.0000
  10.500   1.5634   0.02153   0.01668  -0.0588   0.0760   1.0000
  11.000   1.5839   0.02453   0.01971  -0.0544   0.0634   1.0000
  11.500   1.6007   0.02803   0.02326  -0.0504   0.0540   1.0000
  12.000   1.6160   0.03194   0.02726  -0.0469   0.0469   1.0000
  12.500   1.6272   0.03645   0.03187  -0.0438   0.0415   1.0000
  13.000   1.6345   0.04154   0.03706  -0.0412   0.0372   1.0000
  13.500   1.6392   0.04708   0.04274  -0.0390   0.0338   1.0000
  14.000   1.6384   0.05332   0.04911  -0.0373   0.0312   1.0000
