  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.410     Re =     2.290 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000   0.0192   0.00771   0.00225  -0.1137   0.6342   0.0646
  -3.500   0.0827   0.00757   0.00205  -0.1131   0.6087   0.0758
  -3.000   0.1462   0.00747   0.00191  -0.1126   0.5850   0.0885
  -2.500   0.2096   0.00739   0.00179  -0.1122   0.5620   0.1044
  -2.000   0.2727   0.00733   0.00172  -0.1119   0.5407   0.1237
  -1.500   0.3358   0.00728   0.00167  -0.1116   0.5213   0.1468
  -1.000   0.3990   0.00725   0.00166  -0.1113   0.5045   0.1724
  -0.500   0.4621   0.00722   0.00167  -0.1111   0.4899   0.2038
   0.000   0.5251   0.00721   0.00172  -0.1109   0.4766   0.2393
   0.500   0.5876   0.00723   0.00179  -0.1106   0.4633   0.2799
   1.000   0.6510   0.00718   0.00187  -0.1105   0.4541   0.3322
   1.500   0.7131   0.00713   0.00199  -0.1102   0.4434   0.4118
   2.500   0.8359   0.00678   0.00234  -0.1094   0.4240   0.7016
   3.000   0.8950   0.00670   0.00257  -0.1082   0.4128   0.8336
   3.500   0.9491   0.00664   0.00282  -0.1055   0.4030   0.9628
   4.000   1.0302   0.00693   0.00307  -0.1089   0.3890   0.9996
   4.500   1.0873   0.00722   0.00330  -0.1072   0.3741   1.0000
   5.000   1.1443   0.00756   0.00358  -0.1054   0.3572   1.0000
   5.500   1.2003   0.00796   0.00391  -0.1033   0.3377   1.0000
   6.000   1.2532   0.00847   0.00434  -0.1006   0.3148   1.0000
   6.500   1.3016   0.00903   0.00483  -0.0970   0.2912   1.0000
   7.000   1.3471   0.00978   0.00548  -0.0931   0.2638   1.0000
   7.500   1.3907   0.01068   0.00628  -0.0888   0.2345   1.0000
   8.500   1.4648   0.01318   0.00857  -0.0790   0.1713   1.0000
   9.000   1.4949   0.01489   0.01019  -0.0735   0.1404   1.0000
   9.500   1.5211   0.01694   0.01217  -0.0680   0.1135   1.0000
  10.000   1.5443   0.01937   0.01457  -0.0627   0.0915   1.0000
  10.500   1.5658   0.02213   0.01733  -0.0578   0.0754   1.0000
  11.000   1.5848   0.02532   0.02055  -0.0534   0.0628   1.0000
  11.500   1.6014   0.02895   0.02425  -0.0494   0.0537   1.0000
  12.000   1.6157   0.03305   0.02844  -0.0460   0.0467   1.0000
  12.500   1.6256   0.03778   0.03327  -0.0430   0.0413   1.0000
  13.000   1.6309   0.04313   0.03874  -0.0404   0.0371   1.0000
  13.500   1.6343   0.04890   0.04464  -0.0384   0.0338   1.0000
  14.000   1.6320   0.05534   0.05122  -0.0367   0.0312   1.0000
  14.500   1.6257   0.06237   0.05838  -0.0356   0.0289   1.0000
  15.000   1.6166   0.06981   0.06597  -0.0349   0.0272   1.0000
  15.500   1.6052   0.07770   0.07401  -0.0347   0.0254   1.0000
  16.000   1.5897   0.08616   0.08261  -0.0351   0.0241   1.0000
  16.500   1.5770   0.09455   0.09116  -0.0359   0.0229   1.0000
  17.000   1.5614   0.10343   0.10018  -0.0372   0.0218   1.0000
  17.500   1.5420   0.11304   0.10993  -0.0395   0.0209   1.0000
  18.000   1.5288   0.12210   0.11914  -0.0420   0.0200   1.0000
  18.500   1.5141   0.13165   0.12883  -0.0454   0.0191   1.0000
  19.000   1.4984   0.14155   0.13886  -0.0496   0.0183   1.0000
  19.500   1.4814   0.15196   0.14941  -0.0546   0.0177   1.0000
  20.000   1.4705   0.16184   0.15943  -0.0599   0.0170   1.0000
